blog_post,government_db,registration_required,video_url,url,country,db_type,agency,paid,notes
,True,False,,http://dfp.gov.ua/413.html,UA,regulatory,The State Commission for Regulations of Financial Services Markets,False,"Available: a registry of all participants on financial market, auditors, banks, comissions, etc."
,True,False,,http://www.rsk.is/fyrirtaekjaskra,IS,business,Directorate of Internal Revenue,False,Available: basic company information and a list of all filed documents
,True,False,,http://www.egx.com.eg/English/ListedStocks.aspx,EG,business,The Egiptian Exchange,False,"A whole listing of stocks, bonds and mutual funds"
,True,True,,https://www.sec.gov/edgar/searchedgar/companysearch.html,US,business,United States Securities and Exchange Commission,True,Available: all SEC filings of companies
,True,False,,http://promis.comesa.int/,GLOBAL,regional,Regional Procurement Management Information System,False,Available: calls for tenders and other procurement information for the COMESA region
,False,False,,http://www.tse.com.al/?fq=brenda&m=shfaqart&gj=gj2&aid=42,AL,business,Tirana Stock Exchange,False,Information on specific securities not available for search.
,True,False,,https://www.kansas.gov/bess/flow/main?execution=e1s1,US,business,Kansas Secretary of State,False,Available: search for company name or number with basic company information
,True,False,,https://secure.utah.gov/bes/,US,business,Utah Division of Corporations and Commercial Code,False,Available: search for company name or number with basic company information
,True,False,,http://www.registrucentras.lt/jar_p_en/,LT,business,Centre of Registers,False,Available: detailed company information
,True,False,,http://www.nbs.rs/internet/english/index.html,RS,business,Serbian National Bank,False,Available: a list of all authorised financial institutions and companies
,True,False,,http://www.difc.ae/browse-directory,AE,business,Dubai International Financial Centre,False,Available: directory of clients
